0x61 a ............115
0x62 b ............37 
0x63 c ............51 
0x64 d ............57 
0x65 e ............125
0x66 f ............27 
0x67 g ............54 
0x68 h ............48 
0x69 i ............79 
0x6a j ............24 
0x6b k ............32 
0x6c l ............68 
0x6d m ............36 
0x6e n ............55 
0x6f o ............150
0x70 p ............30 
0x71 q ............30 
0x72 r ............67 
0x73 s ............64 
0x74 t ............45 
0x75 u ............109
0x76 v ............23 
0x77 w ............32 
0x78 x ............17 
0x79 y ............50 
0x7a z ............44 
