chars       total   blocks  scripts blocks+script
Latin       52  1   1   1
Cyrillic    33  1   1   1
Greek       24  1   1   1
Gematria    22  1   1   1
Arabic      28  1   1   1
Hangul      40  1   1   1
Thai        56  1   1   1
Hans        52  1   1   1
ModifierLetters 43  5   1   5
IgnorableChars  3370    124 38  179
combingingBasA  75  12  3   12
combingingBasB  21  7   2   7
combingingBasC  33  12  3   12
combingingBasD  36  12  3   12
combingingBasE  72  11  3   11
combingingBasF  16  7   2   8
combingingBasG  36  11  3   11
combingingBasH  32  10  3   10
combingingBasI  50  11  3   11
combingingBasJ  15  6   2   6
combingingBasK  29  9   3   9
combingingBasL  41  10  3   10
combingingBasM  24  10  3   10
combingingBasN  36  11  3   11
combingingBasO  95  12  3   12
combingingBasP  23  9   2   9
combingingBasQ  12  5   2   5
combingingBasR  47  13  3   13
combingingBasS  40  9   3   9
combingingBasT  36  10  4   10
combingingBasU  71  9   3   9
combingingBasV  21  8   3   8
combingingBasW  21  6   2   6
combingingBasX  9   4   3   4
combingingBasY  30  7   2   7
combingingBasZ  35  11  3   11
combingingExtA  64  16  13  18
combingingExtB  24  13  10  14
combingingExtC  33  9   6   10
combingingExtD  40  14  12  16
combingingExtE  66  14  12  16
combingingExtF  19  10  7   10
combingingExtG  33  10  8   12
combingingExtH  35  12  9   13
combingingExtI  46  12  9   13
combingingExtJ  18  9   6   10
combingingExtK  28  12  10  14
combingingExtL  43  12  9   13
combingingExtM  25  12  10  13
combingingExtN  37  13  10  14
combingingExtO  88  18  14  20
combingingExtP  23  11  8   11
combingingExtQ  19  12  10  12
combingingExtR  50  14  12  16
combingingExtS  40  13  9   14
combingingExtT  36  12  10  13
combingingExtU  54  14  11  15
combingingExtV  17  11  9   12
combingingExtW  21  8   6   8
combingingExtX  11  9   6   9
combingingExtY  31  9   7   10
combingingExtZ  34  12  9   13
combingingCharA 121 32  16  36
combingingCharB 42  21  11  23
combingingCharC 54  25  9   26
combingingCharD 66  34  19  36
combingingCharE 115 31  16  35
combingingCharF 27  14  8   15
combingingCharG 59  27  11  29
combingingCharH 54  25  13  26
combingingCharI 80  33  12  35
combingingCharJ 26  17  7   19
combingingCharK 48  21  12  22
combingingCharL 73  26  12  27
combingingCharM 38  27  13  27
combingingCharN 64  33  12  33
combingingCharO 166 42  17  46
combingingCharP 35  18  9   18
combingingCharQ 30  16  13  16
combingingCharR 77  33  16  36
combingingCharS 67  32  11  33
combingingCharT 57  25  13  26
combingingCharU 111 29  13  32
combingingCharV 27  17  11  17
combingingCharW 35  13  7   13
combingingCharX 16  9   8   9
combingingCharY 53  20  9   21
combingingCharZ 57  27  12  28
