Detecting Obfuscated Command Samples1 (Win10)...
0% 1% 2% 4% 5% 7% 8% 10% 11% 13% 14% 16% 17% 19% 20% 22% 23% 25% 26% 28% 29% 31% 32% 34% 35% 37% 38% 40% 41% 43% 44% 46% 47% 49% 50% 51% 53% 54% 56% 57% 59% 60% 62% 63% 65% 66% 68% 69% 71% 72% 74% 75% 77% 78% 80% 81% 83% 84% 86% 87% 89% 90% 92% 93% 95% 96% 98% 99% 
threshold: 0.0, tpr:1.0, fpr: 1.0, acc:0.44015444015444016
threshold: 0.05, tpr:1.0, fpr: 1.0, acc:0.44015444015444016
threshold: 0.1, tpr:1.0, fpr: 1.0, acc:0.44015444015444016
threshold: 0.15000000000000002, tpr:1.0, fpr: 0.9225464190981433, acc:0.4835164835164835
threshold: 0.2, tpr:1.0, fpr: 0.6822281167108754, acc:0.618057618057618
threshold: 0.25, tpr:1.0, fpr: 0.6822281167108754, acc:0.618057618057618
threshold: 0.3, tpr:1.0, fpr: 0.4970822281167109, acc:0.7217107217107217
threshold: 0.35, tpr:1.0, fpr: 0.3413793103448276, acc:0.8088803088803089
threshold: 0.39999999999999997, tpr:1.0, fpr: 0.31511936339522545, acc:0.8235818235818236
threshold: 0.44999999999999996, tpr:1.0, fpr: 0.15623342175066313, acc:0.9125334125334126
threshold: 0.49999999999999994, tpr:1.0, fpr: 0.15623342175066313, acc:0.9125334125334126
threshold: 0.5499999999999999, tpr:1.0, fpr: 0.025729442970822282, acc:0.9855954855954856
threshold: 0.6, tpr:1.0, fpr: 0.025729442970822282, acc:0.9855954855954856
threshold: 0.65, tpr:1.0, fpr: 0.025729442970822282, acc:0.9855954855954856
threshold: 0.7000000000000001, tpr:1.0, fpr: 0.0, acc:1.0
threshold: 0.7500000000000001, tpr:0.9669365721997301, fpr: 0.0, acc:0.9854469854469855
threshold: 0.8000000000000002, tpr:0.9321862348178138, fpr: 0.0, acc:0.9701514701514702
threshold: 0.8500000000000002, tpr:0.8333333333333334, fpr: 0.0, acc:0.9266409266409267
threshold: 0.9000000000000002, tpr:0.6973684210526315, fpr: 0.0, acc:0.8667953667953668
threshold: 0.9500000000000003, tpr:0.6973684210526315, fpr: 0.0, acc:0.8667953667953668
threshold: 1.0000000000000002, tpr:0.0, fpr: 0.0, acc:0.5598455598455598
threshold: 0.0, tpr:0.11808367071524967, fpr: 0.0, acc:0.6118206118206119
threshold: 0.05, tpr:0.11808367071524967, fpr: 0.0, acc:0.6118206118206119
threshold: 0.1, tpr:0.11808367071524967, fpr: 0.0, acc:0.6118206118206119
threshold: 0.15000000000000002, tpr:0.11808367071524967, fpr: 0.0, acc:0.6118206118206119
threshold: 0.2, tpr:0.11808367071524967, fpr: 0.0, acc:0.6118206118206119
threshold: 0.25, tpr:0.11808367071524967, fpr: 0.0, acc:0.6118206118206119
threshold: 0.3, tpr:0.11808367071524967, fpr: 0.0, acc:0.6118206118206119
threshold: 0.35, tpr:0.11808367071524967, fpr: 0.0, acc:0.6118206118206119
threshold: 0.39999999999999997, tpr:0.11808367071524967, fpr: 0.0, acc:0.6118206118206119
threshold: 0.44999999999999996, tpr:0.11808367071524967, fpr: 0.0, acc:0.6118206118206119
threshold: 0.49999999999999994, tpr:0.11808367071524967, fpr: 0.0, acc:0.6118206118206119
threshold: 0.5499999999999999, tpr:0.11808367071524967, fpr: 0.0, acc:0.6118206118206119
threshold: 0.6, tpr:0.11808367071524967, fpr: 0.0, acc:0.6118206118206119
threshold: 0.65, tpr:0.11808367071524967, fpr: 0.0, acc:0.6118206118206119
threshold: 0.7000000000000001, tpr:0.11808367071524967, fpr: 0.0, acc:0.6118206118206119
threshold: 0.7500000000000001, tpr:0.11808367071524967, fpr: 0.0, acc:0.6118206118206119
threshold: 0.8000000000000002, tpr:0.11808367071524967, fpr: 0.0, acc:0.6118206118206119
threshold: 0.8500000000000002, tpr:0.11808367071524967, fpr: 0.0, acc:0.6118206118206119
threshold: 0.9000000000000002, tpr:0.11808367071524967, fpr: 0.0, acc:0.6118206118206119
threshold: 0.9500000000000003, tpr:0.11808367071524967, fpr: 0.0, acc:0.6118206118206119
threshold: 1.0000000000000002, tpr:0.11808367071524967, fpr: 0.0, acc:0.6118206118206119
Detecting Obfuscated Command Samples2 (Win11)...
0% 1% 2% 4% 5% 7% 8% 10% 11% 13% 14% 16% 17% 19% 20% 21% 23% 24% 26% 27% 29% 30% 32% 33% 35% 36% 38% 39% 41% 42% 43% 45% 46% 48% 49% 51% 52% 54% 55% 57% 58% 60% 61% 63% 64% 65% 67% 68% 70% 71% 73% 74% 76% 77% 79% 80% 82% 83% 85% 86% 87% 89% 90% 92% 93% 95% 96% 98% 99% 
threshold: 0.0, tpr:1.0, fpr: 1.0, acc:0.4406158357771261
threshold: 0.05, tpr:1.0, fpr: 1.0, acc:0.4406158357771261
threshold: 0.1, tpr:1.0, fpr: 1.0, acc:0.4406158357771261
threshold: 0.15000000000000002, tpr:1.0, fpr: 0.9234600262123198, acc:0.4834310850439883
threshold: 0.2, tpr:1.0, fpr: 0.6844036697247706, acc:0.6171554252199414
threshold: 0.25, tpr:1.0, fpr: 0.6844036697247706, acc:0.6171554252199414
threshold: 0.3, tpr:1.0, fpr: 0.49934469200524245, acc:0.7206744868035191
threshold: 0.35, tpr:1.0, fpr: 0.3420707732634338, acc:0.8086510263929618
threshold: 0.39999999999999997, tpr:1.0, fpr: 0.3155963302752294, acc:0.8234604105571848
threshold: 0.44999999999999996, tpr:1.0, fpr: 0.15727391874180865, acc:0.9120234604105572
threshold: 0.49999999999999994, tpr:1.0, fpr: 0.15727391874180865, acc:0.9120234604105572
threshold: 0.5499999999999999, tpr:1.0, fpr: 0.02621231979030144, acc:0.9853372434017595
threshold: 0.6, tpr:1.0, fpr: 0.02621231979030144, acc:0.9853372434017595
threshold: 0.65, tpr:1.0, fpr: 0.02621231979030144, acc:0.9853372434017595
threshold: 0.7000000000000001, tpr:1.0, fpr: 0.0, acc:1.0
threshold: 0.7500000000000001, tpr:0.967054908485857, fpr: 0.0, acc:0.9854838709677419
threshold: 0.8000000000000002, tpr:0.9327787021630616, fpr: 0.0, acc:0.9703812316715542
threshold: 0.8500000000000002, tpr:0.8329450915141431, fpr: 0.0, acc:0.9263929618768328
threshold: 0.9000000000000002, tpr:0.6981697171381032, fpr: 0.0, acc:0.867008797653959
threshold: 0.9500000000000003, tpr:0.6981697171381032, fpr: 0.0, acc:0.867008797653959
threshold: 1.0000000000000002, tpr:0.0, fpr: 0.0, acc:0.5593841642228738
threshold: 0.0, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.05, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.1, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.15000000000000002, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.2, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.25, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.3, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.35, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.39999999999999997, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.44999999999999996, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.49999999999999994, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.5499999999999999, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.6, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.65, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.7000000000000001, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.7500000000000001, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.8000000000000002, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.8500000000000002, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.9000000000000002, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.9500000000000003, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 1.0000000000000002, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
Robustness Testing...
0% 1% 2% 4% 5% 7% 8% 10% 11% 13% 14% 16% 17% 19% 20% 22% 23% 25% 26% 27% 29% 30% 32% 33% 35% 36% 38% 39% 41% 42% 44% 45% 47% 48% 50% 51% 52% 54% 55% 57% 58% 60% 61% 63% 64% 66% 67% 69% 70% 72% 73% 75% 76% 77% 79% 80% 82% 83% 85% 86% 88% 89% 91% 92% 94% 95% 97% 98% 
0% 
threshold: 0.0, tpr:1.0, fpr: 1.0, acc:0.4411764705882353
threshold: 0.05, tpr:1.0, fpr: 1.0, acc:0.4411764705882353
threshold: 0.1, tpr:1.0, fpr: 1.0, acc:0.4411764705882353
threshold: 0.15000000000000002, tpr:1.0, fpr: 0.9210526315789473, acc:0.4852941176470588
threshold: 0.2, tpr:1.0, fpr: 0.6842105263157895, acc:0.6176470588235294
threshold: 0.25, tpr:1.0, fpr: 0.6842105263157895, acc:0.6176470588235294
threshold: 0.3, tpr:1.0, fpr: 0.5, acc:0.7205882352941176
threshold: 0.35, tpr:1.0, fpr: 0.34210526315789475, acc:0.8088235294117647
threshold: 0.39999999999999997, tpr:1.0, fpr: 0.3157894736842105, acc:0.8235294117647058
threshold: 0.44999999999999996, tpr:1.0, fpr: 0.15789473684210525, acc:0.9117647058823529
threshold: 0.49999999999999994, tpr:1.0, fpr: 0.15789473684210525, acc:0.9117647058823529
threshold: 0.5499999999999999, tpr:1.0, fpr: 0.02631578947368421, acc:0.9852941176470589
threshold: 0.6, tpr:1.0, fpr: 0.02631578947368421, acc:0.9852941176470589
threshold: 0.65, tpr:1.0, fpr: 0.02631578947368421, acc:0.9852941176470589
threshold: 0.7000000000000001, tpr:1.0, fpr: 0.0, acc:1.0
threshold: 0.7500000000000001, tpr:0.9666666666666667, fpr: 0.0, acc:0.9852941176470589
threshold: 0.8000000000000002, tpr:0.9333333333333333, fpr: 0.0, acc:0.9705882352941176
threshold: 0.8500000000000002, tpr:0.8333333333333334, fpr: 0.0, acc:0.9264705882352942
threshold: 0.9000000000000002, tpr:0.7, fpr: 0.0, acc:0.8676470588235294
threshold: 0.9500000000000003, tpr:0.7, fpr: 0.0, acc:0.8676470588235294
threshold: 1.0000000000000002, tpr:0.0, fpr: 0.0, acc:0.5588235294117647
Point0, AvgUnknownCharCount:0.0, maxAvgAcc: 1.0, unknownOfCommandAvg: 0.0, unknownOfArgumentAvg: 0.0
0% 1% 2% 4% 5% 7% 8% 10% 11% 13% 14% 16% 17% 19% 20% 22% 23% 25% 26% 27% 29% 30% 32% 33% 35% 36% 38% 39% 41% 42% 44% 45% 47% 48% 50% 51% 52% 54% 55% 57% 58% 60% 61% 63% 64% 66% 67% 69% 70% 72% 73% 75% 76% 77% 79% 80% 82% 83% 85% 86% 88% 89% 91% 92% 94% 95% 97% 98% 
0% 59% 
threshold: 0.0, tpr:1.0, fpr: 1.0, acc:0.4880952380952381
threshold: 0.05, tpr:1.0, fpr: 0.9767441860465116, acc:0.5
threshold: 0.1, tpr:1.0, fpr: 0.9767441860465116, acc:0.5
threshold: 0.15000000000000002, tpr:1.0, fpr: 0.9302325581395349, acc:0.5238095238095238
threshold: 0.2, tpr:1.0, fpr: 0.686046511627907, acc:0.6488095238095238
threshold: 0.25, tpr:1.0, fpr: 0.686046511627907, acc:0.6488095238095238
threshold: 0.3, tpr:1.0, fpr: 0.47674418604651164, acc:0.7559523809523809
threshold: 0.35, tpr:1.0, fpr: 0.32558139534883723, acc:0.8333333333333334
threshold: 0.39999999999999997, tpr:1.0, fpr: 0.27906976744186046, acc:0.8571428571428571
threshold: 0.44999999999999996, tpr:1.0, fpr: 0.1511627906976744, acc:0.9226190476190477
threshold: 0.49999999999999994, tpr:1.0, fpr: 0.1511627906976744, acc:0.9226190476190477
